RightComposition,RightComposition,650,13,"{{Row[{""expr1"", ""/*"", ""expr2""}]}}","Row[{""RightComposition"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
FunctionCallPrefix,Prefix,640,14,"{{Row[{""expr1"", ""@"", ""expr2""}]}}","Row[{""expr1"", ""["", ""expr2"", ""]""}]",True,Binary,Infix,Right,,"However, Construct[f, x] produces f[x]."
FunctionCallInfix,Infix,630,15,"{{Row[{""expr1"", ""~"", ""expr2"", ""~"", ""expr3""}]}}","Row[{""expr2"", ""["", ""expr1"", "","", ""expr3"", ""]""}]",True,Ternary,Infix,Left,,"Infix[f[x,y]] will display as x~f~y. Precedence identifies Infix with this operator, and Precedence[Infix]==30 which is almost correct."
Apply,Apply,620,16,"{{Row[{""expr1"", ""@@"", ""expr2""}]}}","Row[{""Apply"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
ApplyFirstLevel,Apply,620,16,"{{Row[{""expr1"", ""@@@"", ""expr2""}]}}","Row[{""Apply"", ""["", ""expr1"", "","", ""expr2"", "","", ""{"", ""1"", ""}"", ""]""}]",True,Binary,Infix,,,
Map,Map,620,16,"{{Row[{""expr1"", ""/@"", ""expr2""}]}}","Row[{""Map"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
MapAll,MapAll,620,16,"{{Row[{""expr1"", ""//@"", ""expr2""}]}}","Row[{""MapAll"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
Factorial,Factorial,610,17,"{{Row[{""expr"", ""!""}]}}","Row[{""Factorial"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,,,
Factorial2,Factorial2,610,17,"{{Row[{""expr"", ""!!""}]}}","Row[{""Factorial2"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,,,
Conjugate,Conjugate,605,18,"{{Row[{""expr"", """"}]}}","Row[{""Conjugate"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,None,695,
ConjugateTranspose,ConjugateTranspose,605,18,"{{Row[{""expr"", """"}], Row[{""expr"", """"}]}}","Row[{""ConjugateTranspose"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,None,695,
SuperDagger,SuperDagger,605,18,"{{Row[{""expr"", ""^"", ""†""}]}}","Row[{""SuperDagger"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,,,
Transpose,Transpose,605,18,"{{Row[{""expr"", """"}]}}","Row[{""Transpose"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,None,695,
Derivative,Derivative,604,19,"{{Row[{""expr"", ""''"", ""⋯"", ""'""}]}}","Row[{""Derivative"", ""["", ""n"", ""]"", ""["", ""expr"", ""]""}]",True,Unary,Postfix,,,
StringJoin,StringJoin,600,20,"{{Row[{""expr1"", ""<>"", ""expr2"", ""<>"", ""expr3""}]}}","Row[{""StringJoin"", ""["", ""expr1"", "","", ""expr2"", "","", ""expr3"", ""]""}]",True,Binary,Infix,,,
Power,Power,590,21,"{{Row[{""expr1"", ""^"", ""expr2""}]}}","Row[{""Power"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
SuperscriptBox,SuperscriptBox,590,21,"{{Row[{""expr1"", ""\^"", ""expr2""}]}}","Row[{""SuperscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Infix,,,
SupersubscriptBox,SubsuperscriptBox,590,21,"{{Row[{""expr1"", ""\^"", ""expr2"", ""\%"", ""expr3""}]}}","Row[{""SubsuperscriptBox"", ""["", ""expr1"", "","", ""expr3"", "","", ""expr2"", ""]""}]",True,Ternary,Infix,,,
DoubleDownArrow,DoubleDownArrow,580,21.5,"{{Row[{""x"", ""⇓"", ""y…""}]}}","Row[{""DoubleDownArrow"", ""["", ""x"", "","", ""y…"", ""]""}]",False,Binary,Infix,None,650,
DoubleLongLeftArrow,DoubleLongLeftArrow,580,21.5,"{{Row[{""x"", ""⟸"", ""y"", ""⟸"", ""…""}]}}","Row[{""DoubleLongLeftArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
DoubleLongLeftRightArrow,DoubleLongLeftRightArrow,580,21.5,"{{Row[{""x"", ""⟺"", ""y"", ""⟺"", ""…""}]}}","Row[{""DoubleLongLeftRightArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
DoubleLongRightArrow,DoubleLongRightArrow,580,21.5,"{{Row[{""x"", ""⟹"", ""y"", ""⟹"", ""…""}]}}","Row[{""DoubleLongRightArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
DoubleUpArrow,DoubleUpArrow,580,21.5,"{{Row[{""x"", ""⇑"", ""y"", ""⇑"", ""…""}]}}","Row[{""DoubleUpArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
DoubleUpDownArrow,DoubleUpDownArrow,580,21.5,"{{Row[{""x"", ""⇕"", ""y"", ""⇕"", ""…""}]}}","Row[{""DoubleUpDownArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
DownArrow,DownArrow,580,21.5,"{{Row[{""x"", ""↓"", ""y"", ""↓"", ""…""}]}}","Row[{""DownArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
DownArrowBar,DownArrowBar,580,21.5,"{{Row[{""x"", ""⤓"", ""y"", ""⤓"", ""…""}]}}","Row[{""DownArrowBar"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
DownArrowUpArrow,DownArrowUpArrow,580,21.5,"{{Row[{""x"", ""⇵"", ""y"", ""⇵"", ""…""}]}}","Row[{""DownArrowUpArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
DownTeeArrow,DownTeeArrow,580,21.5,"{{Row[{""x"", ""↧"", ""y"", ""↧"", ""…""}]}}","Row[{""DownTeeArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LeftDownTeeVector,LeftDownTeeVector,580,21.5,"{{Row[{""x"", ""⥡"", ""y"", ""⥡"", ""…""}]}}","Row[{""LeftDownTeeVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LeftDownVector,LeftDownVector,580,21.5,"{{Row[{""x"", ""⇃"", ""y"", ""⇃"", ""…""}]}}","Row[{""LeftDownVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LeftDownVectorBar,LeftDownVectorBar,580,21.5,"{{Row[{""x"", ""⥙"", ""y"", ""⥙"", ""…""}]}}","Row[{""LeftDownVectorBar"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LeftUpDownVector,LeftUpDownVector,580,21.5,"{{Row[{""x"", ""⥑"", ""y"", ""⥑"", ""…""}]}}","Row[{""LeftUpDownVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LeftUpTeeVector,LeftUpTeeVector,580,21.5,"{{Row[{""x"", ""⥠"", ""y"", ""⥠"", ""…""}]}}","Row[{""LeftUpTeeVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LeftUpVector,LeftUpVector,580,21.5,"{{Row[{""x"", ""↿"", ""y"", ""↿"", ""…""}]}}","Row[{""LeftUpVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LeftUpVectorBar,LeftUpVectorBar,580,21.5,"{{Row[{""x"", ""⥘"", ""y"", ""⥘"", ""…""}]}}","Row[{""LeftUpVectorBar"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LongLeftArrow,LongLeftArrow,580,21.5,"{{Row[{""x"", ""⟵"", ""y"", ""⟵"", ""…""}]}}","Row[{""LongLeftArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LongLeftRightArrow,LongLeftRightArrow,580,21.5,"{{Row[{""x"", ""⟷"", ""y"", ""⟷"", ""…""}]}}","Row[{""LongLeftRightArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
LongRightArrow,LongRightArrow,580,21.5,"{{Row[{""x"", ""⟶"", ""y"", ""⟶"", ""…""}]}}","Row[{""LongRightArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
ReverseUpEquilibrium,ReverseUpEquilibrium,580,21.5,"{{Row[{""x"", ""⥯"", ""y"", ""⥯"", ""…""}]}}","Row[{""ReverseUpEquilibrium"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
RightDownTeeVector,RightDownTeeVector,580,21.5,"{{Row[{""x"", ""⥝"", ""y"", ""⥝"", ""…""}]}}","Row[{""RightDownTeeVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
RightDownVector,RightDownVector,580,21.5,"{{Row[{""x"", ""⇂"", ""y"", ""⇂"", ""…""}]}}","Row[{""RightDownVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
