"InvisiblePrefixScriptBase","",960,"{""""}","{}","{}","{{"""", ""expr""}}","Row[{""InvisiblePrefixScriptBase"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right",""
"InvisiblePostfixScriptBase","",960,"{}","{""""}","{}","{{""expr"", """"}}","Row[{""InvisiblePostfixScriptBase"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left",""
"PartialOverscriptBox","",950,"{}","{""""}","{}","{{""expr"", """"}}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]","Unary","Postfix","Left",""
"OverscriptBox","X",950,"{}","{""\&""}","{}","{{""expr1"", ""\&"", ""expr2""}}","Row[{""OverscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Missing[""Unknown""]",""
"PartialUnderscriptBox","",950,"{}","{""""}","{}","{{""expr"", """"}}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]","Unary","Postfix","Left",""
"UnderscriptBox","X",950,"{}","{""\+""}","{}","{{""expr1"", ""\+"", ""expr2""}}","Row[{""UnderscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Missing[""Unknown""]",""
"OverunderscriptBox","X",940,"{}","{""\&""}","{""\%""}","{{""expr1"", ""\&"", ""expr2"", ""\%"", ""expr3""}}","Row[{""UnderoverscriptBox"", ""["", ""expr1"", "","", ""expr3"", ""]""}]","Ternary","Infix","Missing[""Unknown""]",""
"UnderoverscriptBox","X",940,"{}","{""\+""}","{""\%""}","{{""expr1"", ""\+"", ""expr2"", ""\%"", ""expr3""}}","Row[{""UnderoverscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Ternary","Infix","Missing[""Unknown""]",""
"InterpretBoxes","X",930,"{""\*""}","{}","{}","{{""\*"", ""expr""}}","","Unary","Prefix","Right",""
"PartialSubscriptBox","X",920,"{}","{""""}","{}","{{""expr"", """"}}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]","Unary","Postfix","Left",""
"SubscriptBox","X",920,"{}","{""\_""}","{}","{{""expr1"", ""\_"", ""expr2""}}","Row[{""SubscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Missing[""Unknown""]",""
"SubsuperscriptBox","X",920,"{}","{""\_""}","{""\%""}","{{""expr1"", ""\_"", ""expr2"", ""\%"", ""expr3""}}","Row[{""SubsuperscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Ternary","Infix","Missing[""Unknown""]",""
"PatternTest","",910,"{}","{""?""}","{}","{{""expr1"", ""?"", ""expr2""}}","Row[{""PatternTest"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Missing[""Unknown""]","PatternTest[expr1, expr2]"
"InlinePart","",900,"{}","{""""}","{}","{{""expr1"", """", ""expr2""}}","Row[{""InlinePart"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Right","RowBox[List[expr1, InlinePart, expr2]]"
"Part","",890,"{}","{""[["", ""〚""}","{""]]"", ""〛""}","{{""expr1"", ""[["", ""expr2"", ""]]""}, {""expr1"", ""〚"", ""expr2"", ""〛""}}","Row[{""Part"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","n-ary","Postfix","Left","Part[expr1, expr2, \[Ellipsis]]"
"FunctionApply","",890,"{}","{""[""}","{""]""}","{{""expr1"", ""["", ""expr2"", ""]""}}","{{Row[{""expr1"", ""["", ""expr2"", "","", ""…"", ""]""}]}}","n-ary","Postfix","Left","expr1[expr2, \[Ellipsis]]"
"Decrement","",880,"{}","{""--""}","{}","{{""expr"", ""--""}}","Row[{""Decrement"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","Decrement[expr]"
"Increment","",880,"{}","{""++""}","{}","{{""expr"", ""++""}}","Row[{""Increment"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","Increment[expr]"
"PreDecrement","",870,"{""--""}","{}","{}","{{""--"", ""expr""}}","Row[{""PreDecrement"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right","PreDecrement[expr]"
"PreIncrement","",870,"{""++""}","{}","{}","{{""++"", ""expr""}}","Row[{""PreIncrement"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right","PreIncrement[expr]"
"Composition","",860,"{}","{""@*""}","{}","{{""expr1"", ""@*"", ""expr2""}}","Row[{""Composition"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","None","Composition[expr1, expr2]"
"RightComposition","",850,"{}","{""/*""}","{}","{{""expr1"", ""/*"", ""expr2""}}","Row[{""RightComposition"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","None","RightComposition[expr1, expr2]"
