Unofficial Name,Name,Parser Exception,NewPrec,RightPrec,Me,"Precedence Rank (WLD, corrected)","Precedence (UnicodeCharacters.tr, corrected)",Usage,Parse,Arity,Affix,Associativity,Usage String,FullForm,Meaningful,Comments
BlankNullSequenceHead,BlankNullSequence,,1010,730,4,5,,"{{Row[{""___"", ""expr""}]}}","Row[{""BlankNullSequence"", ""["", ""expr"", ""]""}]",Unary,Prefix,Non,___expr,BlankNullSequence[expr],True,
NamedBlankHead,Blank,,1000,730,3,5,,"{{Row[{""symb"", ""_"", ""expr""}]}}","Row[{""Pattern"", ""["", ""symb"", "","", ""Blank"", ""["", ""expr"", ""]"", ""]""}]",Binary,Infix,Non,symb_expr,"Pattern[symb, Blank[expr]]",True,
NamedBlankSequenceHead,BlankSequence,,1000,730,3,5,,"{{Row[{""symb"", ""__"", ""expr""}]}}","Row[{""Pattern"", ""["", ""symb"", "","", ""BlankSequence"", ""["", ""expr"", ""]"", ""]""}]",Binary,Infix,Non,symb__expr,"Pattern[symb, BlankSequence[expr]]",True,
NamedBlankNullSequenceHead,BlankNullSequence,,1000,730,3,5,,"{{Row[{""symb"", ""___"", ""expr""}]}}","Row[{""Pattern"", ""["", ""symb"", "","", ""BlankNullSequence"", ""["", ""expr"", ""]"", ""]""}]",Binary,Infix,Non,symb___expr,"Pattern[symb, BlankNullSequence[expr]]",True,
NamedBlank,Blank,,990,730,2,5,,"{{Row[{""symb"", ""_""}]}}","Row[{""Pattern"", ""["", ""symb"", "","", ""Blank"", ""["", ""]"", ""]""}]",Unary,Postfix,Non,symb_,"Pattern[symb, Blank[]]",True,
NamedBlankSequence,BlankSequence,,990,730,2,5,,"{{Row[{""symb"", ""__""}]}}","Row[{""Pattern"", ""["", ""symb"", "","", ""BlankSequence"", ""["", ""]"", ""]""}]",Unary,Postfix,Non,symb__,"Pattern[symb, BlankSequence[]]",True,
NamedBlankOptional,Blank,,990,730,2,5,,"{{Row[{""symb"", ""_.""}]}}","Row[{""Optional"", ""["", ""Pattern"", "","", ""Blank"", ""["", ""]"", ""]"", ""]""}]",Unary,Postfix,Non,symb_.,"Optional[Pattern[symb, Blank[]]]",True,
NamedBlankNullSequence,BlankNullSequence,,990,730,2,5,,"{{Row[{""symb"", ""___""}]}}","Row[{""Pattern"", ""["", ""symb"", "","", ""BlankNullSequence"", ""["", ""]"", ""]""}]",Unary,Postfix,Non,symb___,"Pattern[symb, BlankNullSequence[]]",True,
Blank,Blank,,980,730,1,5,,"{{Row[{""_""}]}}","Row[{""Blank"", ""["", ""]""}]",Nullary,None,Non,_,Blank[],True,A Blank (_) with no accompanying decoration.
BlankNullSequence,BlankNullSequence,,980,730,1,5,,"{{Row[{""___""}]}}","Row[{""BlankNullSequence"", ""["", ""]""}]",Nullary,None,Non,___,BlankNullSequence[],True,A BlankNullSequence (___) with no accompanying decoration.
BlankOptional,Blank,,980,730,1,5,,"{{Row[{""_.""}]}}","Row[{""Optional"", ""["", ""Blank"", ""]""}]",Nullary,None,Non,_.,Optional[Blank[]],True,No name or head.
BlankSequence,BlankSequence,,980,730,1,5,,"{{Row[{""__""}]}}","Row[{""BlankSequence"", ""["", ""]""}]",Nullary,None,Non,__,BlankSequence[],True,A BlankNullSequence (__) with no accompanying decoration.
Get,Get,,970,720,,6,,"{{Row[{""<<"", ""filename""}]}}","Row[{""Get"", ""["", ""\"""", ""filename""}]",Unary,Prefix,Right,<<filename,"Get[""filename""]",True,
InvisiblePrefixScriptBase,InvisiblePrefixScriptBase,,960,,1,,800,"{Row[{"""", ""expr""}]}","Row[{""InvisiblePrefixScriptBase"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,,,False,Usage and Parse may not be semantically correct.
InvisiblePostfixScriptBase,InvisiblePostfixScriptBase,,960,,1,,800,"{Row[{""expr"", """"}]}","Row[{""InvisiblePostfixScriptBase"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,,,False,This operator is an invisible Unicode character and is used in the layout of displayed expressions.
