Unofficial Name,Name,Parser Exception,NewPrec,RightPrec,Me,"Precedence Rank (WLD, corrected)","Precedence (UnicodeCharacters.tr, corrected)",Usage,Parse,Arity,Affix,Associativity,Usage String,FullForm,Meaningful,Comments
LeftTriangleEqual,LeftTriangleEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⊴"", ""y""}]}}","Row[{""LeftTriangleEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⊴y,"LeftTriangleEqual[x, y]",False,
Less,Less,,360,290,,49.5,390,"{{Row[{""expr1"", ""<"", ""expr2""}]}}","Row[{""Less"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1<expr2,"Less[expr1, expr2]",True,
LessEqual,LessEqual,,360,290,,49.5,390,"{{Row[{""expr1"", ""<="", ""expr2""}], Row[{""expr1"", ""≤"", ""expr2""}]}}","Row[{""LessEqual"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1<=expr2,"LessEqual[expr1, expr2]",True,
LessEqualGreater,LessEqualGreater,,360,290,,49.5,390,"{{Row[{""x"", ""⋚"", ""y""}]}}","Row[{""LessEqualGreater"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋚y,"LessEqualGreater[x, y]",False,
LessFullEqual,LessFullEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≦"", ""y""}]}}","Row[{""LessFullEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≦y,"LessFullEqual[x, y]",False,
LessGreater,LessGreater,,360,290,,49.5,390,"{{Row[{""x"", ""≶"", ""y""}]}}","Row[{""LessGreater"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≶y,"LessGreater[x, y]",False,
LessLess,LessLess,,360,290,,49.5,390,"{{Row[{""x"", ""≪"", ""y""}]}}","Row[{""LessLess"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≪y,"LessLess[x, y]",False,
LessSlantEqual,LessSlantEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⩽"", ""y""}]}}","Row[{""LessEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⩽y,"LessEqual[x, y]",False,
LessTilde,LessTilde,,360,290,,49.5,390,"{{Row[{""x"", ""≲"", ""y""}]}}","Row[{""LessTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≲y,"LessTilde[x, y]",False,
NestedGreaterGreater,NestedGreaterGreater,,360,290,,49.5,390,"{{Row[{""x"", ""⪢"", ""y""}]}}","Row[{""NestedGreaterGreater"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⪢y,"NestedGreaterGreater[x, y]",False,
NestedLessLess,NestedLessLess,,360,290,,49.5,390,"{{Row[{""x"", ""⪡"", ""y""}]}}","Row[{""NestedLessLess"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⪡y,"NestedLessLess[x, y]",False,
NotCongruent,NotCongruent,,360,290,,49.5,390,"{{Row[{""x"", ""≢"", ""y""}]}}","Row[{""NotCongruent"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≢y,"NotCongruent[x, y]",False,
NotCupCap,NotCupCap,,360,290,,49.5,390,"{{Row[{""x"", ""≭"", ""y""}]}}","Row[{""NotCupCap"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≭y,"NotCupCap[x, y]",False,
NotEqualTilde,NotEqualTilde,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotEqualTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotEqualTilde[x, y]",False,
NotGreater,NotGreater,,360,290,,49.5,390,"{{Row[{""x"", ""≯"", ""y""}]}}","Row[{""NotGreater"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≯y,"NotGreater[x, y]",False,
NotGreaterEqual,NotGreaterEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≱"", ""y""}]}}","Row[{""NotGreaterEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≱y,"NotGreaterEqual[x, y]",False,
NotGreaterFullEqual,NotGreaterFullEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≩"", ""y""}]}}","Row[{""NotGreaterFullEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≩y,"NotGreaterFullEqual[x, y]",False,
NotGreaterGreater,NotGreaterGreater,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotGreaterGreater"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotGreaterGreater[x, y]",False,
NotGreaterLess,NotGreaterLess,,360,290,,49.5,390,"{{Row[{""x"", ""≹"", ""y""}]}}","Row[{""NotGreaterLess"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≹y,"NotGreaterLess[x, y]",False,
NotGreaterSlantEqual,NotGreaterSlantEqual,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotGreaterSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotGreaterSlantEqual[x, y]",False,
NotGreaterTilde,NotGreaterTilde,,360,290,,49.5,390,"{{Row[{""x"", ""≵"", ""y""}]}}","Row[{""NotGreaterTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≵y,"NotGreaterTilde[x, y]",False,
NotHumpDownHump,NotHumpDownHump,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotHumpDownHump"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotHumpDownHump[x, y]",False,
NotHumpEqual,NotHumpEqual,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotHumpEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotHumpEqual[x, y]",False,
NotLeftTriangle,NotLeftTriangle,,360,290,,49.5,390,"{{Row[{""x"", ""⋪"", ""y""}]}}","Row[{""NotLeftTriangle"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋪y,"NotLeftTriangle[x, y]",False,
NotLeftTriangleBar,NotLeftTriangleBar,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotLeftTriangleBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotLeftTriangleBar[x, y]",False,
NotLeftTriangleEqual,NotLeftTriangleEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⋬"", ""y""}]}}","Row[{""NotLeftTriangleEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋬y,"NotLeftTriangleEqual[x, y]",False,
NotLess,NotLess,,360,290,,49.5,390,"{{Row[{""x"", ""≮"", ""y""}]}}","Row[{""NotLess"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≮y,"NotLess[x, y]",False,
NotLessEqual,NotLessEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≰"", ""y""}]}}","Row[{""NotLessEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≰y,"NotLessEqual[x, y]",False,
NotLessFullEqual,NotLessFullEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≨"", ""y""}]}}","Row[{""NotLessFullEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≨y,"NotLessFullEqual[x, y]",False,
NotLessGreater,NotLessGreater,,360,290,,49.5,390,"{{Row[{""x"", ""≸"", ""y""}]}}","Row[{""NotLessGreater"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≸y,"NotLessGreater[x, y]",False,
NotLessLess,NotLessLess,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotLessLess"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotLessLess[x, y]",False,
NotLessSlantEqual,NotLessSlantEqual,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotLessSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotLessSlantEqual[x, y]",False,
NotLessTilde,NotLessTilde,,360,290,,49.5,390,"{{Row[{""x"", ""≴"", ""y""}]}}","Row[{""NotLessTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≴y,"NotLessTilde[x, y]",False,
NotNestedGreaterGreater,NotNestedGreaterGreater,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotNestedGreaterGreater"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotNestedGreaterGreater[x, y]",False,
NotNestedLessLess,NotNestedLessLess,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotNestedLessLess"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotNestedLessLess[x, y]",False,
NotPrecedes,NotPrecedes,,360,290,,49.5,390,"{{Row[{""x"", ""⊀"", ""y""}]}}","Row[{""NotPrecedes"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⊀y,"NotPrecedes[x, y]",False,
NotPrecedesEqual,NotPrecedesEqual,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotPrecedesEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotPrecedesEqual[x, y]",False,
NotPrecedesSlantEqual,NotPrecedesSlantEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⋠"", ""y""}]}}","Row[{""NotPrecedesSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋠y,"NotPrecedesSlantEqual[x, y]",False,
NotPrecedesTilde,NotPrecedesTilde,,360,290,,49.5,390,"{{Row[{""x"", ""⋨"", ""y""}]}}","Row[{""NotPrecedesTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋨y,"NotPrecedesTilde[x, y]",False,
NotRightTriangle,NotRightTriangle,,360,290,,49.5,390,"{{Row[{""x"", ""⋫"", ""y""}]}}","Row[{""NotRightTriangle"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋫y,"NotRightTriangle[x, y]",False,
NotRightTriangleBar,NotRightTriangleBar,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotRightTriangleBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotRightTriangleBar[x, y]",False,
NotRightTriangleEqual,NotRightTriangleEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⋭"", ""y""}]}}","Row[{""NotRightTriangleEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋭y,"NotRightTriangleEqual[x, y]",False,
NotSucceeds,NotSucceeds,,360,290,,49.5,390,"{{Row[{""x"", ""⊁"", ""y""}]}}","Row[{""NotSucceeds"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⊁y,"NotSucceeds[x, y]",False,
NotSucceedsEqual,NotSucceedsEqual,,360,290,,49.5,390,"{{Row[{""x"", """", ""y""}]}}","Row[{""NotSucceedsEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"NotSucceedsEqual[x, y]",False,
NotSucceedsSlantEqual,NotSucceedsSlantEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⋡"", ""y""}]}}","Row[{""NotSucceedsSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋡y,"NotSucceedsSlantEqual[x, y]",False,
NotSucceedsTilde,NotSucceedsTilde,,360,290,,49.5,390,"{{Row[{""x"", ""⋩"", ""y""}]}}","Row[{""NotSucceedsTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⋩y,"NotSucceedsTilde[x, y]",False,
NotTilde,NotTilde,,360,290,,49.5,390,"{{Row[{""x"", ""≁"", ""y""}]}}","Row[{""NotTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≁y,"NotTilde[x, y]",False,
NotTildeEqual,NotTildeEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≄"", ""y""}]}}","Row[{""NotTildeEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≄y,"NotTildeEqual[x, y]",False,
NotTildeFullEqual,NotTildeFullEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≇"", ""y""}]}}","Row[{""NotTildeFullEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≇y,"NotTildeFullEqual[x, y]",False,
NotTildeTilde,NotTildeTilde,,360,290,,49.5,390,"{{Row[{""x"", ""≉"", ""y""}]}}","Row[{""NotTildeTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≉y,"NotTildeTilde[x, y]",False,
Precedes,Precedes,,360,290,,49.5,390,"{{Row[{""x"", ""≺"", ""y""}]}}","Row[{""Precedes"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≺y,"Precedes[x, y]",False,
PrecedesEqual,PrecedesEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⪯"", ""y""}]}}","Row[{""PrecedesEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⪯y,"PrecedesEqual[x, y]",False,
PrecedesSlantEqual,PrecedesSlantEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≼"", ""y""}]}}","Row[{""PrecedesSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≼y,"PrecedesSlantEqual[x, y]",False,
PrecedesTilde,PrecedesTilde,,360,290,,49.5,390,"{{Row[{""x"", ""≾"", ""y""}]}}","Row[{""PrecedesTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≾y,"PrecedesTilde[x, y]",False,
Proportion,Proportion,,360,290,,49.5,390,"{{Row[{""x"", ""∷"", ""y""}]}}","Row[{""Proportion"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x∷y,"Proportion[x, y]",False,
Proportional,Proportional,,360,290,,49.5,390,"{{Row[{""x"", ""∝"", ""y""}]}}","Row[{""Proportional"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x∝y,"Proportional[x, y]",False,
ReverseEquilibrium,ReverseEquilibrium,,360,290,,49.5,390,"{{Row[{""x"", ""⇋"", ""y""}]}}","Row[{""ReverseEquilibrium"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇋y,"ReverseEquilibrium[x, y]",False,
RightTriangle,RightTriangle,,360,290,,49.5,390,"{{Row[{""x"", ""⊳"", ""y""}]}}","Row[{""RightTriangle"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⊳y,"RightTriangle[x, y]",False,
RightTriangleBar,RightTriangleBar,,360,290,,49.5,390,"{{Row[{""x"", ""⧐"", ""y""}]}}","Row[{""RightTriangleBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⧐y,"RightTriangleBar[x, y]",False,
RightTriangleEqual,RightTriangleEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⊵"", ""y""}]}}","Row[{""RightTriangleEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⊵y,"RightTriangleEqual[x, y]",False,
Succeeds,Succeeds,,360,290,,49.5,390,"{{Row[{""x"", ""≻"", ""y""}]}}","Row[{""Succeeds"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≻y,"Succeeds[x, y]",False,
SucceedsEqual,SucceedsEqual,,360,290,,49.5,390,"{{Row[{""x"", ""⪰"", ""y""}]}}","Row[{""SucceedsEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⪰y,"SucceedsEqual[x, y]",False,
SucceedsSlantEqual,SucceedsSlantEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≽"", ""y""}]}}","Row[{""SucceedsSlantEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≽y,"SucceedsSlantEqual[x, y]",False,
SucceedsTilde,SucceedsTilde,,360,290,,49.5,390,"{{Row[{""x"", ""≿"", ""y""}]}}","Row[{""SucceedsTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≿y,"SucceedsTilde[x, y]",False,
Tilde,Tilde,,360,290,,49.5,390,"{{Row[{""x"", ""∼"", ""y""}]}}","Row[{""Tilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x∼y,"Tilde[x, y]",False,
TildeEqual,TildeEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≃"", ""y""}]}}","Row[{""TildeEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≃y,"TildeEqual[x, y]",False,
TildeFullEqual,TildeFullEqual,,360,290,,49.5,390,"{{Row[{""x"", ""≅"", ""y""}]}}","Row[{""TildeFullEqual"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≅y,"TildeFullEqual[x, y]",False,
TildeTilde,TildeTilde,,360,290,,49.5,390,"{{Row[{""x"", ""≈"", ""y""}]}}","Row[{""TildeTilde"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x≈y,"TildeTilde[x, y]",False,
Unequal,Unequal,,360,290,,49.5,390,"{{Row[{""expr1"", ""!="", ""expr2""}], Row[{""expr1"", ""≠"", ""expr2""}]}}","Row[{""Unequal"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1!=expr2,"Unequal[expr1, expr2]",True,
DoubleVerticalBar,DoubleVerticalBar,,350,280,,50,390,"{{Row[{""expr1"", ""∥"", ""expr2""}]}}","Row[{""DoubleVerticalBar"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1∥expr2,"DoubleVerticalBar[expr1, expr2]",False,
NotDoubleVerticalBar,NotDoubleVerticalBar,,350,280,,50,390,"{{Row[{""expr1"", ""∦"", ""expr2""}]}}","Row[{""NotDoubleVerticalBar"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1∦expr2,"NotDoubleVerticalBar[expr1, expr2]",False,
NotVerticalBar,NotVerticalBar,,350,280,,50,390,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""NotVerticalBar"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1expr2,"NotVerticalBar[expr1, expr2]",False,
VerticalBar,VerticalBar,,350,280,,50,390,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""VerticalBar"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1expr2,"VerticalBar[expr1, expr2]",False,
DoubleLeftArrow,DoubleLeftArrow,,340,270,,50.5,380,"{{Row[{""x"", ""⇐"", ""y""}]}}","Row[{""DoubleLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇐y,"DoubleLeftArrow[x, y]",False,
DoubleLeftRightArrow,DoubleLeftRightArrow,,340,270,,50.5,380,"{{Row[{""x"", ""⇔"", ""y""}]}}","Row[{""DoubleLeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇔y,"DoubleLeftRightArrow[x, y]",False,
DoubleRightArrow,DoubleRightArrow,,340,270,,50.5,380,"{{Row[{""x"", ""⇒"", ""y""}]}}","Row[{""DoubleRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇒y,"DoubleRightArrow[x, y]",False,
DownLeftRightVector,DownLeftRightVector,,340,270,,50.5,380,"{{Row[{""x"", ""⥐"", ""y""}]}}","Row[{""DownLeftRightVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥐y,"DownLeftRightVector[x, y]",False,
DownLeftTeeVector,DownLeftTeeVector,,340,270,,50.5,380,"{{Row[{""x"", ""⥞"", ""y""}]}}","Row[{""DownLeftTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥞y,"DownLeftTeeVector[x, y]",False,
DownLeftVector,DownLeftVector,,340,270,,50.5,380,"{{Row[{""x"", ""↽"", ""y""}]}}","Row[{""DownLeftVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↽y,"DownLeftVector[x, y]",False,
DownLeftVectorBar,DownLeftVectorBar,,340,270,,50.5,380,"{{Row[{""x"", ""⥖"", ""y""}]}}","Row[{""DownLeftVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥖y,"DownLeftVectorBar[x, y]",False,
DownRightTeeVector,DownRightTeeVector,,340,270,,50.5,380,"{{Row[{""x"", ""⥟"", ""y""}]}}","Row[{""DownRightTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥟y,"DownRightTeeVector[x, y]",False,
DownRightVector,DownRightVector,,340,270,,50.5,380,"{{Row[{""x"", ""⇁"", ""y""}]}}","Row[{""DownRightVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇁y,"DownRightVector[x, y]",False,
DownRightVectorBar,DownRightVectorBar,,340,270,,50.5,380,"{{Row[{""x"", ""⥗"", ""y""}]}}","Row[{""DownRightVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥗y,"DownRightVectorBar[x, y]",False,
LeftArrow,LeftArrow,,340,270,,50.5,380,"{{Row[{""x"", ""←"", ""y""}]}}","Row[{""LeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x←y,"LeftArrow[x, y]",False,
LeftArrowBar,LeftArrowBar,,340,270,,50.5,380,"{{Row[{""x"", ""⇤"", ""y""}]}}","Row[{""LeftArrowBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇤y,"LeftArrowBar[x, y]",False,
LeftArrowRightArrow,LeftArrowRightArrow,,340,270,,50.5,380,"{{Row[{""x"", ""⇆"", ""y""}]}}","Row[{""LeftArrowRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇆y,"LeftArrowRightArrow[x, y]",False,
LeftRightArrow,LeftRightArrow,,340,270,,50.5,380,"{{Row[{""x"", ""↔"", ""y""}]}}","Row[{""LeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↔y,"LeftRightArrow[x, y]",False,
LeftRightVector,LeftRightVector,,340,270,,50.5,380,"{{Row[{""x"", ""⥎"", ""y""}]}}","Row[{""LeftRightVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥎y,"LeftRightVector[x, y]",False,
LeftTeeArrow,LeftTeeArrow,,340,270,,50.5,380,"{{Row[{""x"", ""↤"", ""y""}]}}","Row[{""LeftTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↤y,"LeftTeeArrow[x, y]",False,
LeftTeeVector,LeftTeeVector,,340,270,,50.5,380,"{{Row[{""x"", ""⥚"", ""y""}]}}","Row[{""LeftTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥚y,"LeftTeeVector[x, y]",False,
LeftVector,LeftVector,,340,270,,50.5,380,"{{Row[{""x"", ""↼"", ""y""}]}}","Row[{""LeftVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↼y,"LeftVector[x, y]",False,
LeftVectorBar,LeftVectorBar,,340,270,,50.5,380,"{{Row[{""x"", ""⥒"", ""y""}]}}","Row[{""LeftVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥒y,"LeftVectorBar[x, y]",False,
LowerLeftArrow,LowerLeftArrow,,340,270,,50.5,380,"{{Row[{""x"", ""↙"", ""y""}]}}","Row[{""LowerLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↙y,"LowerLeftArrow[x, y]",False,
LowerRightArrow,LowerRightArrow,,340,270,,50.5,380,"{{Row[{""x"", ""↘"", ""y""}]}}","Row[{""LowerRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↘y,"LowerRightArrow[x, y]",False,
RightArrow,RightArrow,,340,270,,50.5,380,"{{Row[{""x"", ""→"", ""y""}]}}","Row[{""RightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x→y,"RightArrow[x, y]",False,
RightArrowBar,RightArrowBar,,340,270,,50.5,380,"{{Row[{""x"", ""⇥"", ""y""}]}}","Row[{""RightArrowBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇥y,"RightArrowBar[x, y]",False,
RightArrowLeftArrow,RightArrowLeftArrow,,340,270,,50.5,380,"{{Row[{""x"", ""⇄"", ""y""}]}}","Row[{""RightArrowLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇄y,"RightArrowLeftArrow[x, y]",False,
RightTeeArrow,RightTeeArrow,,340,270,,50.5,380,"{{Row[{""x"", ""↦"", ""y""}]}}","Row[{""RightTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↦y,"RightTeeArrow[x, y]",False,
RightTeeVector,RightTeeVector,,340,270,,50.5,380,"{{Row[{""x"", ""⥛"", ""y""}]}}","Row[{""RightTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥛y,"RightTeeVector[x, y]",False,
RightVector,RightVector,,340,270,,50.5,380,"{{Row[{""x"", ""⇀"", ""y""}]}}","Row[{""RightVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇀y,"RightVector[x, y]",False,
RightVectorBar,RightVectorBar,,340,270,,50.5,380,"{{Row[{""x"", ""⥓"", ""y""}]}}","Row[{""RightVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥓y,"RightVectorBar[x, y]",False,
ShortLeftArrow,ShortLeftArrow,,340,270,,50.5,380,"{{Row[{""x"", """", ""y""}]}}","Row[{""ShortLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"ShortLeftArrow[x, y]",False,
ShortRightArrow,ShortRightArrow,,340,270,,50.5,380,"{{Row[{""x"", """", ""y""}]}}","Row[{""ShortRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,xy,"ShortRightArrow[x, y]",False,
UpperLeftArrow,UpperLeftArrow,,340,270,,50.5,380,"{{Row[{""x"", ""↖"", ""y""}]}}","Row[{""UpperLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↖y,"UpperLeftArrow[x, y]",False,
UpperRightArrow,UpperRightArrow,,340,270,,50.5,380,"{{Row[{""x"", ""↗"", ""y""}]}}","Row[{""UpperRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↗y,"UpperRightArrow[x, y]",False,
SameQ,SameQ,,330,260,,51,370,"{{Row[{""expr1"", ""==="", ""expr2""}]}}","Row[{""SameQ"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1===expr2,"SameQ[expr1, expr2]",True,
UnsameQ,UnsameQ,,330,260,,51,370,"{{Row[{""expr1"", ""=!="", ""expr2""}]}}","Row[{""UnsameQ"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1=!=expr2,"UnsameQ[expr1, expr2]",True,
