10591,"⥟","DownRightTeeVector"
8641,"⇁","DownRightVector"
10583,"⥗","DownRightVectorBar"
8868,"⊤","DownTee"
8615,"↧","DownTeeArrow"
233,"é","EAcute"
62431,"","Earth"
275,"ē","EBar"
277,"ĕ","ECup"
235,"ë","EDoubleDot"
232,"è","EGrave"
283,"ě","EHacek"
234,"ê","EHat"
9834,"♪","EighthNote"
8712,"∈","Element"
8230,"…","Ellipsis"
9675,"○","EmptyCircle"
9671,"◇","EmptyDiamond"
9661,"▽","EmptyDownTriangle"
9647,"▯","EmptyRectangle"
8709,"∅","EmptySet"
9702,"◦","EmptySmallCircle"
9723,"◻","EmptySmallSquare"
9633,"□","EmptySquare"
9651,"△","EmptyUpTriangle"
9643,"▫","EmptyVerySmallSquare"
63444,"","EnterKey"
62393,"","EntityEnd"
62392,"","EntityStart"
1013,"ϵ","Epsilon"
62513,"","Equal"
8770,"≂","EqualTilde"
8652,"⇌","Equilibrium"
10726,"⧦","Equivalent"
63335,"","ErrorIndicator"
63337,"","EscapeKey"
951,"η","Eta"
240,"ð","Eth"
8364,"€","Euro"
8707,"∃","Exists"
62429,"","ExpectationE"
63309,"","ExponentialE"
64257,"ﬁ","FiLigature"
9679,"●","FilledCircle"
9670,"◆","FilledDiamond"
9660,"▼","FilledDownTriangle"
9664,"◀","FilledLeftTriangle"
9646,"▮","FilledRectangle"
9654,"▶","FilledRightTriangle"
63312,"","FilledSmallCircle"
9724,"◼","FilledSmallSquare"
9632,"■","FilledSquare"
9650,"▲","FilledUpTriangle"
9642,"▪","FilledVerySmallSquare"
962,"ς","FinalSigma"
63482,"","FirstPage"
9733,"★","FivePointedStar"
9837,"♭","Flat"
64258,"ﬂ","FlLigature"
402,"ƒ","Florin"
8704,"∀","ForAll"
63488,"","FormalA"
63572,"","FormalAlpha"
63489,"","FormalB"
63573,"","FormalBeta"
63490,"","FormalC"
63514,"","FormalCapitalA"
63540,"","FormalCapitalAlpha"
63515,"","FormalCapitalB"
63541,"","FormalCapitalBeta"
63516,"","FormalCapitalC"
63562,"","FormalCapitalChi"
63517,"","FormalCapitalD"
63543,"","FormalCapitalDelta"
63615,"","FormalCapitalDigamma"
63518,"","FormalCapitalE"
63544,"","FormalCapitalEpsilon"
63546,"","FormalCapitalEta"
63519,"","FormalCapitalF"
63520,"","FormalCapitalG"
63542,"","FormalCapitalGamma"
63521,"","FormalCapitalH"
63522,"","FormalCapitalI"
63548,"","FormalCapitalIota"
63523,"","FormalCapitalJ"
63524,"","FormalCapitalK"
63549,"","FormalCapitalKappa"
63617,"","FormalCapitalKoppa"
63525,"","FormalCapitalL"
63550,"","FormalCapitalLambda"
63526,"","FormalCapitalM"
63551,"","FormalCapitalMu"
63527,"","FormalCapitalN"
63552,"","FormalCapitalNu"
63528,"","FormalCapitalO"
63564,"","FormalCapitalOmega"
63554,"","FormalCapitalOmicron"
63529,"","FormalCapitalP"
63561,"","FormalCapitalPhi"
63555,"","FormalCapitalPi"
63563,"","FormalCapitalPsi"
63530,"","FormalCapitalQ"
63531,"","FormalCapitalR"
63556,"","FormalCapitalRho"
63532,"","FormalCapitalS"
63619,"","FormalCapitalSampi"
63558,"","FormalCapitalSigma"
63613,"","FormalCapitalStigma"
63533,"","FormalCapitalT"
63559,"","FormalCapitalTau"
63547,"","FormalCapitalTheta"
63534,"","FormalCapitalU"
63560,"","FormalCapitalUpsilon"
63535,"","FormalCapitalV"
63536,"","FormalCapitalW"
63537,"","FormalCapitalX"
63553,"","FormalCapitalXi"
63538,"","FormalCapitalY"
63539,"","FormalCapitalZ"
63545,"","FormalCapitalZeta"
63594,"","FormalChi"
63605,"","FormalCurlyCapitalUpsilon"
63576,"","FormalCurlyEpsilon"
63621,"","FormalCurlyKappa"
63593,"","FormalCurlyPhi"
63609,"","FormalCurlyPi"
63622,"","FormalCurlyRho"
63604,"","FormalCurlyTheta"
63491,"","FormalD"
63575,"","FormalDelta"
63616,"","FormalDigamma"
63492,"","FormalE"
63626,"","FormalEpsilon"
63578,"","FormalEta"
63493,"","FormalF"
63589,"","FormalFinalSigma"
63494,"","FormalG"
63574,"","FormalGamma"
63495,"","FormalH"
63496,"","FormalI"
63580,"","FormalIota"
63497,"","FormalJ"
63498,"","FormalK"
63581,"","FormalKappa"
63618,"","FormalKoppa"
63499,"","FormalL"
63582,"","FormalLambda"
63500,"","FormalM"
63583,"","FormalMu"
63501,"","FormalN"
63584,"","FormalNu"
63502,"","FormalO"
63596,"","FormalOmega"
63586,"","FormalOmicron"
63503,"","FormalP"
63608,"","FormalPhi"
63587,"","FormalPi"
63595,"","FormalPsi"
63504,"","FormalQ"
63505,"","FormalR"
63588,"","FormalRho"
63506,"","FormalS"
63620,"","FormalSampi"
63590,"","FormalSigma"
63614,"","FormalStigma"
63507,"","FormalT"
63591,"","FormalTau"
63579,"","FormalTheta"
63508,"","FormalU"
63592,"","FormalUpsilon"
63509,"","FormalV"
63510,"","FormalW"
63511,"","FormalX"
63585,"","FormalXi"
63512,"","FormalY"
63513,"","FormalZ"
63577,"","FormalZeta"
63265,"","FreakedSmiley"
62289,"","FreeformPrompt"
62625,"","Function"
947,"γ","Gamma"
9802,"♊","GeminiSign"
8503,"ℷ","Gimel"
63180,"","GothicA"
63181,"","GothicB"
63182,"","GothicC"
63370,"","GothicCapitalA"
63371,"","GothicCapitalB"
8493,"ℭ","GothicCapitalC"
63373,"","GothicCapitalD"
63374,"","GothicCapitalE"
63375,"","GothicCapitalF"
63376,"","GothicCapitalG"
8460,"ℌ","GothicCapitalH"
8465,"ℑ","GothicCapitalI"
63379,"","GothicCapitalJ"
63380,"","GothicCapitalK"
63381,"","GothicCapitalL"
63382,"","GothicCapitalM"
63383,"","GothicCapitalN"
63384,"","GothicCapitalO"
63385,"","GothicCapitalP"
63386,"","GothicCapitalQ"
8476,"ℜ","GothicCapitalR"
63388,"","GothicCapitalS"
63389,"","GothicCapitalT"
63390,"","GothicCapitalU"
63391,"","GothicCapitalV"
63392,"","GothicCapitalW"
63393,"","GothicCapitalX"
63394,"","GothicCapitalY"
8488,"ℨ","GothicCapitalZ"
63183,"","GothicD"
63184,"","GothicE"
63469,"","GothicEight"
63185,"","GothicF"
63466,"","GothicFive"
63465,"","GothicFour"
63186,"","GothicG"
63187,"","GothicH"
63188,"","GothicI"
63189,"","GothicJ"
63190,"","GothicK"
63191,"","GothicL"
63192,"","GothicM"
63193,"","GothicN"
63471,"","GothicNine"
63194,"","GothicO"
63462,"","GothicOne"
63195,"","GothicP"
63196,"","GothicQ"
63197,"","GothicR"
63198,"","GothicS"
63468,"","GothicSeven"
63467,"","GothicSix"
63199,"","GothicT"
63464,"","GothicThree"
63463,"","GothicTwo"
63200,"","GothicU"
63201,"","GothicV"
63202,"","GothicW"
63203,"","GothicX"
63204,"","GothicY"
63205,"","GothicZ"
63461,"","GothicZero"
62422,"","Gradient"
63315,"","GrayCircle"
63314,"","GraySquare"
8805,"≥","GreaterEqual"
8923,"⋛","GreaterEqualLess"
