"⪡","NestedLessLess","DOUBLE NESTED LESS-THAN","($&NestedLessLess;$)","Infix",390,"None","","0x2AA1",10913,""
"⪢","NestedGreaterGreater","DOUBLE NESTED GREATER-THAN","($&NestedGreaterGreater;$)","Infix",390,"None","","0x2AA2",10914,""
"⩾","GreaterSlantEqual","GREATER-THAN OR SLANTED EQUAL TO","($>/$   $&GreaterSlantEqual;$)","Infix",390,"None","","0x2A7E",10878,""
"≧","GreaterFullEqual","GREATER-THAN OVER EQUAL TO","($&GreaterFullEqual;$)","Infix",390,"None","","0x2267",8807,""
"","NotGreaterGreater","","($&NotGreaterGreater;$)","Infix",390,"None","","0xF427",62503,""
"","NotNestedGreaterGreater","","($&NotNestedGreaterGreater;$)","Infix",390,"None","","0xF428",62504,""
"","NotGreaterSlantEqual","","($!>/$   $&NotGreaterSlantEqual;$)","Infix",390,"None","","0xF429",62505,""
"≩","NotGreaterFullEqual","GREATER-THAN BUT NOT EQUAL TO","($&NotGreaterFullEqual;$)","Infix",390,"None","","0x2269",8809,""
"≶","LessGreater","LESS-THAN OR GREATER-THAN","($&LessGreater;$)","Infix",390,"None","","0x2276",8822,""
"≷","GreaterLess","GREATER-THAN OR LESS-THAN","($&GreaterLess;$)","Infix",390,"None","","0x2277",8823,""
"≸","NotLessGreater","NEITHER LESS-THAN NOR GREATER-THAN","($&NotLessGreater;$)","Infix",390,"None","","0x2278",8824,""
"≹","NotGreaterLess","NEITHER GREATER-THAN NOR LESS-THAN","($&NotGreaterLess;$)","Infix",390,"None","","0x2279",8825,""
"⋚","LessEqualGreater","LESS-THAN EQUAL TO OR GREATER-THAN","($&LessEqualGreater;$)","Infix",390,"None","","0x22DA",8922,""
"⋛","GreaterEqualLess","GREATER-THAN EQUAL TO OR LESS-THAN","($&GreaterEqualLess;$)","Infix",390,"None","","0x22DB",8923,""
"","Limit","","($lim$   $\lim$)","Prefix",440,"None","","0xF438",62520,""
"","MaxLimit","","($Mlim$   $\limsup$)","Prefix",440,"None","","0xF439",62521,""
"","MinLimit","","($mlim$   $\liminf$)","Prefix",440,"None","","0xF43A",62522,""
"⊂","Subset","SUBSET OF","($sub$   $&subset;$   $\subset$)","Infix",360,"None","","0x2282",8834,""
"⊃","Superset","SUPERSET OF","($sup$   $&Superset;$   $\supset$)","Infix",360,"None","","0x2283",8835,""
"⊄","NotSubset","NOT A SUBSET OF","($!sub$   $&NotSubset;$)","Infix",360,"None","","0x2284",8836,""
"⊅","NotSuperset","NOT A SUPERSET OF","($!sup$   $&NotSuperset;$)","Infix",360,"None","","0x2285",8837,""
"⊆","SubsetEqual","SUBSET OF OR EQUAL TO","($sub=$   $&SubsetEqual;$   $\subseteq$)","Infix",360,"None","","0x2286",8838,""
"⊇","SupersetEqual","SUPERSET OF OR EQUAL TO","($sup=$   $&SupersetEqual;$   $\supseteq$)","Infix",360,"None","","0x2287",8839,""
"⊈","NotSubsetEqual","NEITHER A SUBSET OF NOR EQUAL TO","($!sub=$   $&NotSubsetEqual;$   $\nsubseteq$)","Infix",360,"None","","0x2288",8840,""
"⊉","NotSupersetEqual","NEITHER A SUPERSET OF NOR EQUAL TO","($!sup=$   $&NotSupersetEqual;$   $\nsupseteq$)","Infix",360,"None","","0x2289",8841,""
"⊏","SquareSubset","SQUARE IMAGE OF","($&SquareSubset;$   $\sqsubset$)","Infix",360,"None","","0x228F",8847,""
"⊐","SquareSuperset","SQUARE ORIGINAL OF","($&SquareSuperset;$   $\sqsupset$)","Infix",360,"None","","0x2290",8848,""
"⊑","SquareSubsetEqual","SQUARE IMAGE OF OR EQUAL TO","($&SquareSubsetEqual;$   $\sqsubseteq$)","Infix",360,"None","","0x2291",8849,""
"⊒","SquareSupersetEqual","SQUARE ORIGINAL OF OR EQUAL TO","($&SquareSupersetEqual;$   $\sqsupseteq$)","Infix",360,"None","","0x2292",8850,""
"","NotSquareSubset","","($&NotSquareSubset;$)","Infix",360,"None","","0xF42E",62510,""
"","NotSquareSuperset","","($&NotSquareSuperset;$)","Infix",360,"None","","0xF42F",62511,""
"⋢","NotSquareSubsetEqual","NOT SQUARE IMAGE OF OR EQUAL TO","($&NotSquareSubsetEqual;$)","Infix",360,"None","","0x22E2",8930,""
"⋣","NotSquareSupersetEqual","NOT SQUARE ORIGINAL OF OR EQUAL TO","($&NotSquareSupersetEqual;$)","Infix",360,"None","","0x22E3",8931,""
"≺","Precedes","PRECEDES","($&Precedes;$   $\prec$)","Infix",390,"None","","0x227A",8826,""
"≻","Succeeds","SUCCEEDS","($&Succeeds;$   $\succ$)","Infix",390,"None","","0x227B",8827,""
"⪯","PrecedesEqual","PRECEDES ABOVE SINGLE-LINE EQUALS SIGN","($&PrecedesEqual;$   $\preceq$)","Infix",390,"None","","0x2AAF",10927,""
"⪰","SucceedsEqual","SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN","($&SucceedsEqual;$   $\succeq$)","Infix",390,"None","","0x2AB0",10928,""
"≾","PrecedesTilde","PRECEDES OR EQUIVALENT TO","($&PrecedesTilde;$   $\precsim$)","Infix",390,"None","","0x227E",8830,""
"≿","SucceedsTilde","SUCCEEDS OR EQUIVALENT TO","($&SucceedsTilde;$   $\succsim$)","Infix",390,"None","","0x227F",8831,""
"⊀","NotPrecedes","DOES NOT PRECEDE","($&NotPrecedes;$   $\nprec$)","Infix",390,"None","","0x2280",8832,""
"⊁","NotSucceeds","DOES NOT SUCCEED","($&NotSucceeds;$   $\nsucc$)","Infix",390,"None","","0x2281",8833,""
"≼","PrecedesSlantEqual","PRECEDES OR EQUAL TO","($&PrecedesSlantEqual;$)","Infix",390,"None","","0x227C",8828,""
"","NotPrecedesEqual","","($&NotPrecedesEqual;$)","Infix",390,"None","","0xF42B",62507,""
"⋠","NotPrecedesSlantEqual","DOES NOT PRECEDE OR EQUAL","($&NotPrecedesSlantEqual;$)","Infix",390,"None","","0x22E0",8928,""
"⋨","NotPrecedesTilde","PRECEDES BUT NOT EQUIVALENT TO","($&NotPrecedesTilde;$)","Infix",390,"None","","0x22E8",8936,""
"≽","SucceedsSlantEqual","SUCCEEDS OR EQUAL TO","($&SucceedsSlantEqual;$)","Infix",390,"None","","0x227D",8829,""
"","NotSucceedsEqual","","($&NotSucceedsEqual;$)","Infix",390,"None","","0xF42D",62509,""
"⋡","NotSucceedsSlantEqual","DOES NOT SUCCEED OR EQUAL","($&NotSucceedsSlantEqual;$)","Infix",390,"None","","0x22E1",8929,""
"⋩","NotSucceedsTilde","SUCCEEDS BUT NOT EQUIVALENT TO","($&NotSucceedsTilde;$)","Infix",390,"None","","0x22E9",8937,""
"⊥","UpTee","UP TACK","($uT$   $&UpTee;$   $\perp$   $\bot$)","Infix",390,"Left","","0x22A5",8869,""
"⟂","Perpendicular","PERPENDICULAR","($perp$   $\perpendicular$)","Infix",390,"None","","0x27C2",10178,""
"∝","Proportional","PROPORTIONAL TO","($prop$   $&Proportional;$   $\propto$)","Infix",390,"None","","0x221D",8733,""
"∷","Proportion","PROPORTION","($&Proportion;$)","Infix",390,"None","","0x2237",8759,""
"≡","Congruent","IDENTICAL TO","($===$   $&Congruent;$   $\equiv$)","Infix",390,"None","","0x2261",8801,""
"≢","NotCongruent","NOT IDENTICAL TO","($!===$   $&NotCongruent;$)","Infix",390,"None","","0x2262",8802,""
"≍","CupCap","EQUIVALENT TO","($&CupCap;$   $\asymp$)","Infix",390,"None","","0x224D",8781,""
"≭","NotCupCap","NOT EQUIVALENT TO","($&NotCupCap;$)","Infix",390,"None","","0x226D",8813,""
"⇌","Equilibrium","RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON","($equi$   $&Equilibrium;$)","Infix",390,"None","","0x21CC",8652,""
"⇋","ReverseEquilibrium","LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON","($&ReverseEquilibrium;$)","Infix",390,"None","","0x21CB",8651,""
"⥮","UpEquilibrium","UPWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT","($&UpEquilibrium;$)","Infix",650,"None","","0x296E",10606,""
